"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S000003503","광주교육대학교광주부설초등학교","02","국립","N","","4","95","23.8","4","95","23.8","4","93","23.3","4","95","23.8","4","95","23.8","4","94","23.5","1","6","6","0","0","0","25","573","22.9","29","19.8"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000210","각화초등학교","02","공립","N","","7","134","19.1","7","131","18.7","6","114","19","5","120","24","5","115","23","4","92","23","1","7","7","0","0","0","35","713","20.4","41","17.4"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000211","경양초등학교","02","공립","N","","4","70","17.5","4","76","19","4","84","21","3","64","21.3","4","73","18.3","3","57","19","1","3","3","0","0","0","23","427","18.6","26","16.4"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 동구","S050000212","광주계림초등학교","02","공립","N","","10","210","21","9","169","18.8","10","203","20.3","8","185","23.1","6","145","24.2","6","128","21.3","2","8","4","0","0","0","51","1048","20.5","59","17.8"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 동구","S050000213","광주남초등학교","02","공립","N","","5","82","16.4","5","76","15.2","4","68","17","4","78","19.5","4","91","22.8","4","78","19.5","2","7","3.5","0","0","0","28","480","17.1","37","13"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 동구","S050000214","광주동산초등학교","02","공립","N","","2","33","16.5","2","38","19","3","40","13.3","2","40","20","2","43","21.5","3","52","17.3","2","7","3.5","0","0","0","16","253","15.8","19","13.3"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000215","광주동운초등학교","02","공립","N","","2","23","11.5","1","21","21","2","30","15","2","22","11","2","36","18","2","44","22","1","2","2","0","0","0","12","178","14.8","16","11.1"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000216","광주동초등학교","02","공립","N","","1","12","12","1","13","13","1","9","9","1","12","12","1","7","7","1","13","13","1","2","2","0","0","0","7","68","9.7","9","7.6"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000218","광주동초등학교충효분교장","02","공립","N","","1","4","4","1","3","3","1","8","8","1","4","4","1","5","5","1","7","7","0","0","0","0","0","0","6","31","5.2","7","4.4"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000219","광주문화초등학교","02","공립","N","","3","40","13.3","2","40","20","3","51","17","4","76","19","3","52","17.3","4","74","18.5","2","9","4.5","0","0","0","21","342","16.3","26","13.2"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 동구","S050000221","광주산수초등학교","02","공립","N","","2","27","13.5","2","27","13.5","2","26","13","2","33","16.5","2","25","12.5","2","35","17.5","1","4","4","0","0","0","13","177","13.6","18","9.8"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000222","광주서림초등학교","02","공립","N","","4","73","18.3","4","64","16","4","78","19.5","3","68","22.7","3","64","21.3","3","59","19.7","1","5","5","0","0","0","22","411","18.7","28","14.7"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000223","광주서산초등학교","02","공립","N","","2","38","19","2","36","18","3","44","14.7","2","39","19.5","2","48","24","2","37","18.5","1","6","6","0","0","0","14","248","17.7","19","13.1"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 동구","S050000224","광주서석초등학교","02","공립","N","","1","11","11","1","8","8","1","19","19","1","23","23","2","25","12.5","2","36","18","1","4","4","0","0","0","9","126","14","14","9"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000225","광주수창초등학교","02","공립","N","","4","67","16.8","3","45","15","3","47","15.7","2","42","21","2","43","21.5","2","25","12.5","1","3","3","0","0","0","17","272","16","21","13"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000226","광주양산초등학교","02","공립","N","","3","48","16","3","48","16","4","66","16.5","3","58","19.3","3","68","22.7","3","66","22","2","8","4","0","0","0","21","362","17.2","27","13.4"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000227","광주용봉초등학교","02","공립","N","","1","21","21","2","21","10.5","1","20","20","2","33","16.5","2","29","14.5","1","18","18","1","2","2","0","0","0","10","144","14.4","14","10.3"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 동구","S050000228","광주용산초등학교","02","공립","N","","3","38","12.7","3","52","17.3","2","37","18.5","2","45","22.5","2","42","21","2","37","18.5","1","6","6","0","0","0","15","257","17.1","18","14.3"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000229","광주우산초등학교","02","공립","N","","2","22","11","2","22","11","1","19","19","1","17","17","2","37","18.5","2","26","13","1","4","4","0","0","0","11","147","13.4","14","10.5"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000230","광주운암초등학교","02","공립","N","","3","63","21","4","77","19.3","5","98","19.6","4","78","19.5","5","100","20","5","102","20.4","1","3","3","0","0","0","27","521","19.3","35","14.9"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 동구","S050000231","광주장원초등학교","02","공립","N","","2","21","10.5","2","27","13.5","2","24","12","2","39","19.5","2","37","18.5","2","25","12.5","1","4","4","0","0","0","13","177","13.6","17","10.4"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 동구","S050000233","광주중앙초등학교","02","공립","N","","1","1","1","1","3","3","1","2","2","1","3","3","1","7","7","1","6","6","0","0","0","0","0","0","6","22","3.7","9","2.4"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000234","광주중흥초등학교","02","공립","N","","3","59","19.7","5","86","17.2","4","70","17.5","3","68","22.7","3","58","19.3","2","40","20","1","5","5","0","0","0","21","386","18.4","26","14.8"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000235","광주지산초등학교","02","공립","N","","1","10","10","1","13","13","1","17","17","1","17","17","1","23","23","2","41","20.5","1","4","4","0","0","0","8","125","15.6","13","9.6"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000239","광주풍향초등학교","02","공립","N","","3","44","14.7","3","58","19.3","4","61","15.3","3","49","16.3","3","61","20.3","3","49","16.3","1","4","4","0","0","0","20","326","16.3","24","13.6"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 동구","S050000240","광주학운초등학교","02","공립","N","","2","40","20","3","42","14","3","49","16.3","4","81","20.3","3","66","22","3","61","20.3","2","7","3.5","0","0","0","20","346","17.3","25","13.8"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000241","광주효동초등학교","02","공립","N","","10","204","20.4","8","199","24.9","9","195","21.7","8","186","23.3","8","180","22.5","7","169","24.1","3","13","4.3","0","0","0","53","1146","21.6","62","18.5"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000242","대자초등학교","02","공립","N","","6","111","18.5","6","113","18.8","7","139","19.9","7","166","23.7","6","138","23","6","134","22.3","1","2","2","0","0","0","39","803","20.6","48","16.7"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000243","동림초등학교","02","공립","N","","4","71","17.8","4","77","19.3","5","98","19.6","4","95","23.8","5","111","22.2","5","111","22.2","2","9","4.5","0","0","0","29","572","19.7","35","16.3"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000244","두암초등학교","02","공립","N","","2","27","13.5","2","35","17.5","2","39","19.5","2","36","18","2","50","25","2","47","23.5","0","0","0","0","0","0","12","234","19.5","15","15.6"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000245","매곡초등학교","02","공립","N","","2","38","19","2","35","17.5","3","51","17","3","55","18.3","3","49","16.3","3","61","20.3","1","5","5","0","0","0","17","294","17.3","21","14"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000246","무등초등학교","02","공립","N","","2","26","13","3","42","14","2","36","18","2","44","22","2","38","19","2","43","21.5","1","4","4","0","0","0","14","233","16.6","18","12.9"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000247","문산초등학교","02","공립","N","","4","70","17.5","4","77","19.3","5","91","18.2","5","106","21.2","4","91","22.8","5","118","23.6","1","6","6","0","0","0","28","559","20","33","16.9"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000248","문정초등학교","02","공립","N","","1","20","20","2","33","16.5","2","23","11.5","2","39","19.5","2","26","13","3","54","18","1","2","2","0","0","0","13","197","15.2","17","11.6"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000249","문흥중앙초등학교","02","공립","N","","2","28","14","3","55","18.3","3","44","14.7","3","60","20","3","69","23","3","66","22","1","5","5","0","0","0","18","327","18.2","23","14.2"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000250","문흥초등학교","02","공립","N","","2","23","11.5","2","25","12.5","1","22","22","2","28","14","1","22","22","2","35","17.5","1","2","2","0","0","0","11","157","14.3","14","11.2"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 서구","S050000252","살레시오초등학교","02","사립","N","","3","86","28.7","3","84","28","3","86","28.7","3","85","28.3","3","84","28","3","84","28","0","0","0","0","0","0","18","509","28.3","18","28.3"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000253","삼각초등학교","02","공립","N","","4","62","15.5","5","94","18.8","5","94","18.8","4","88","22","5","99","19.8","4","94","23.5","2","8","4","0","0","0","29","539","18.6","35","15.4"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000254","삼정초등학교","02","공립","N","","1","11","11","1","7","7","1","5","5","1","8","8","1","9","9","1","10","10","1","5","5","0","0","0","7","55","7.9","10","5.5"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000255","서일초등학교","02","공립","N","","2","36","18","3","56","18.7","3","53","17.7","3","67","22.3","4","82","20.5","4","79","19.8","1","6","6","0","0","0","20","379","19","27","14"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000256","오정초등학교","02","공립","N","","1","19","19","2","20","10","2","23","11.5","1","13","13","2","25","12.5","2","36","18","1","5","5","0","0","0","11","141","12.8","17","8.3"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000257","오치초등학교","02","공립","N","","1","12","12","1","18","18","1","20","20","2","28","14","2","27","13.5","2","27","13.5","2","9","4.5","0","0","0","11","141","12.8","13","10.8"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000258","용두초등학교","02","공립","N","","10","194","19.4","8","157","19.6","8","170","21.3","7","171","24.4","7","177","25.3","7","148","21.1","2","10","5","0","0","0","49","1027","21","58","17.7"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000260","용주초등학교","02","공립","N","","2","32","16","2","38","19","3","48","16","2","41","20.5","3","55","18.3","2","42","21","1","5","5","0","0","0","15","261","17.4","21","12.4"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 동구","S050000262","율곡초등학교","02","공립","N","","2","24","12","2","28","14","2","40","20","2","40","20","2","47","23.5","2","43","21.5","1","6","6","0","0","0","13","228","17.5","18","12.7"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000263","일곡초등학교","02","공립","N","","3","54","18","3","48","16","4","63","15.8","4","79","19.8","4","74","18.5","5","103","20.6","1","4","4","0","0","0","24","425","17.7","29","14.7"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000264","일동초등학교","02","공립","N","","3","49","16.3","3","56","18.7","4","69","17.3","3","71","23.7","3","72","24","3","65","21.7","1","6","6","0","0","0","20","388","19.4","28","13.9"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000265","일신초등학교","02","공립","N","","3","44","14.7","3","61","20.3","4","72","18","4","86","21.5","4","76","19","4","84","21","0","0","0","0","0","0","22","423","19.2","30","14.1"
"광주광역시교육청","광주광역시동부교육지원청","광주광역시 북구","S050000266","태봉초등학교","02","공립","N","","7","129","18.4","7","137","19.6","8","140","17.5","9","191","21.2","8","188","23.5","8","182","22.8","2","9","4.5","0","0","0","49","976","19.9","61","16"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 서구","S050000411","광주광천초등학교","02","공립","N","","4","66","16.5","4","63","15.8","5","82","16.4","4","80","20","3","68","22.7","4","94","23.5","2","7","3.5","0","0","0","26","460","17.7","37","12.4"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 서구","S050000412","광주극락초등학교","02","공립","N","","1","20","20","2","19","9.5","2","21","10.5","2","26","13","2","33","16.5","2","26","13","1","5","5","0","0","0","12","150","12.5","15","10"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 남구","S050000413","광주농성초등학교","02","공립","N","","2","32","16","2","32","16","2","30","15","2","30","15","3","48","16","2","42","21","1","2","2","0","0","0","14","216","15.4","17","12.7"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 남구","S050000414","광주대성초등학교","02","공립","N","","4","61","15.3","3","54","18","4","73","18.3","4","80","20","4","79","19.8","5","103","20.6","1","3","3","0","0","0","25","453","18.1","31","14.6"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 남구","S050000415","광주방림초등학교","02","공립","N","","4","63","15.8","4","70","17.5","4","70","17.5","4","87","21.8","5","102","20.4","5","89","17.8","2","10","5","0","0","0","28","491","17.5","35","14"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 남구","S050000416","광주백운초등학교","02","공립","N","","4","67","16.8","4","69","17.3","5","84","16.8","4","94","23.5","4","94","23.5","4","82","20.5","1","5","5","0","0","0","26","495","19","33","15"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 남구","S050000417","광주봉주초등학교","02","공립","N","","3","43","14.3","3","47","15.7","3","54","18","3","57","19","3","66","22","3","53","17.7","2","7","3.5","0","0","0","20","327","16.4","24","13.6"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 남구","S050000418","광주삼육초등학교","02","사립","N","","3","84","28","3","91","30.3","3","90","30","3","90","30","3","96","32","3","95","31.7","0","0","0","0","0","0","18","546","30.3","18","30.3"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 서구","S050000419","광주상무초등학교","02","공립","N","","5","92","18.4","4","66","16.5","5","90","18","4","90","22.5","4","91","22.8","5","100","20","1","6","6","0","0","0","28","535","19.1","36","14.9"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 서구","S050000420","광주서초등학교","02","공립","N","","4","61","15.3","4","71","17.8","4","74","18.5","4","75","18.8","4","87","21.8","4","92","23","2","8","4","0","0","0","26","468","18","31","15.1"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 남구","S050000421","광주송원초등학교","02","사립","N","","3","91","30.3","3","90","30","3","91","30.3","3","91","30.3","3","95","31.7","3","91","30.3","0","0","0","0","0","0","18","549","30.5","19","28.9"
"광주광역시교육청","광주광역시서부교육지원청","광주광역시 서구","S050000422","광주양동초등학교","02","공립","N","","2","19","9.5","2","31","15.5","2","26","13","2","23","11.5","1","14","14","1","16","16","1","5","5","0","0","0","11","134","12.2","13","10.3"
