"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"대구광역시교육청","대구광역시동부교육지원청","대구광역시 중구","S000003493","경북대학교사범대학부설초등학교","02","국립","N","","4","80","20","4","78","19.5","4","79","19.8","4","79","19.8","4","79","19.8","4","92","23","1","6","6","0","0","0","25","493","19.7","29","17"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S000003506","대구교육대학교대구부설초등학교","02","국립","N","","3","60","20","3","60","20","3","60","20","3","60","20","3","72","24","3","72","24","1","3","3","0","0","0","19","387","20.4","22","17.6"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 남구","S030000406","남대구초등학교","02","공립","N","","2","35","17.5","1","22","22","2","45","22.5","2","36","18","2","32","16","1","23","23","1","6","6","0","0","0","11","199","18.1","14","14.2"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000407","대구감삼초등학교","02","공립","N","","2","29","14.5","2","36","18","3","55","18.3","2","38","19","2","36","18","2","40","20","1","4","4","0","0","0","14","238","17","18","13.2"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000408","대구감천초등학교","02","공립","N","","2","28","14","2","22","11","2","29","14.5","2","40","20","3","50","16.7","2","36","18","2","11","5.5","0","0","0","15","216","14.4","19","11.4"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 남구","S030000409","대구남덕초등학교","02","공립","N","","1","17","17","2","28","14","2","35","17.5","2","29","14.5","2","28","14","3","52","17.3","1","5","5","0","0","0","13","194","14.9","17","11.4"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 남구","S030000410","대구남도초등학교","02","공립","N","","4","49","12.3","3","57","19","4","74","18.5","4","78","19.5","5","90","18","4","83","20.8","2","12","6","0","0","0","26","443","17","34","13"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 남구","S030000411","대구남명초등학교","02","공립","N","","1","19","19","1","12","12","1","23","23","2","29","14.5","1","15","15","2","27","13.5","1","5","5","0","0","0","9","130","14.4","12","10.8"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000412","대구남부초등학교","02","공립","N","","1","23","23","2","25","12.5","2","47","23.5","2","47","23.5","2","46","23","3","52","17.3","1","6","6","0","0","0","13","246","18.9","17","14.5"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000413","대구남송초등학교","02","공립","N","","3","72","24","3","67","22.3","3","73","24.3","3","58","19.3","2","42","21","3","57","19","1","4","4","0","0","0","18","373","20.7","22","17"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000414","대구내당초등학교","02","공립","N","","4","74","18.5","4","69","17.3","4","80","20","4","96","24","3","68","22.7","3","61","20.3","1","6","6","0","0","0","23","454","19.7","30","15.1"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000415","대구노전초등학교","02","공립","N","","2","34","17","2","48","24","3","52","17.3","3","68","22.7","3","60","20","3","53","17.7","1","5","5","0","0","0","17","320","18.8","20","16"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000416","대구대곡초등학교","02","공립","N","","2","35","17.5","2","38","19","2","51","25.5","3","63","21","3","63","21","3","71","23.7","1","5","5","0","0","0","16","326","20.4","20","16.3"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000417","대구대남초등학교","02","공립","N","","2","36","18","2","49","24.5","2","45","22.5","2","33","16.5","3","55","18.3","3","61","20.3","2","12","6","0","0","0","16","291","18.2","21","13.9"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 남구","S030000418","대구대덕초등학교","02","공립","N","","1","18","18","2","32","16","2","28","14","2","35","17.5","2","31","15.5","2","35","17.5","1","4","4","0","0","0","12","183","15.3","16","11.4"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 남구","S030000419","대구대명초등학교","02","공립","N","","2","43","21.5","3","68","22.7","3","66","22","3","76","25.3","3","77","25.7","4","87","21.8","1","6","6","0","0","0","19","423","22.3","25","16.9"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 남구","S030000420","대구대봉초등학교","02","공립","N","","3","66","22","3","62","20.7","3","75","25","3","76","25.3","4","83","20.8","4","79","19.8","2","10","5","0","0","0","22","451","20.5","31","14.5"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000421","대구대서초등학교","02","공립","N","","3","53","17.7","3","55","18.3","3","61","20.3","3","71","23.7","3","58","19.3","3","75","25","1","1","1","0","0","0","19","374","19.7","23","16.3"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000422","대구대진초등학교","02","공립","N","","2","43","21.5","2","46","23","3","58","19.3","3","61","20.3","3","66","22","3","69","23","1","6","6","0","0","0","17","349","20.5","20","17.5"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000423","대구덕인초등학교","02","공립","N","","4","61","15.3","3","60","20","3","68","22.7","4","77","19.3","4","72","18","4","64","16","2","12","6","0","0","0","24","414","17.3","30","13.8"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000424","대구도원초등학교","02","공립","N","","2","41","20.5","2","34","17","2","49","24.5","2","50","25","2","46","23","3","56","18.7","1","6","6","0","0","0","14","282","20.1","18","15.7"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000425","대구본리초등학교","02","공립","N","","6","129","21.5","6","154","25.7","7","179","25.6","8","189","23.6","8","188","23.5","8","194","24.3","2","11","5.5","0","0","0","45","1044","23.2","53","19.7"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 남구","S030000426","대구봉덕초등학교","02","공립","N","","5","111","22.2","4","111","27.8","5","128","25.6","5","106","21.2","6","127","21.2","5","104","20.8","3","20","6.7","0","0","0","33","707","21.4","40","17.7"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000427","대구상원초등학교","02","공립","N","","2","29","14.5","2","26","13","2","41","20.5","2","45","22.5","2","39","19.5","2","40","20","1","5","5","0","0","0","13","225","17.3","17","13.2"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000428","대구상인초등학교","02","공립","N","","3","43","14.3","3","47","15.7","4","68","17","4","79","19.8","4","76","19","4","80","20","2","9","4.5","0","0","0","24","402","16.8","29","13.9"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000429","대구선원초등학교","02","공립","N","","2","25","12.5","2","30","15","2","41","20.5","2","47","23.5","2","30","15","2","49","24.5","0","0","0","0","0","0","12","222","18.5","17","13.1"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000430","대구성곡초등학교","02","공립","N","","2","24","12","2","31","15.5","2","43","21.5","2","52","26","2","48","24","3","53","17.7","1","3","3","0","0","0","14","254","18.1","18","14.1"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000431","대구성남초등학교","02","공립","N","","2","38","19","2","43","21.5","2","45","22.5","3","62","20.7","3","59","19.7","2","45","22.5","1","4","4","0","0","0","15","296","19.7","19","15.6"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000432","대구성당초등학교","02","공립","N","","3","68","22.7","4","97","24.3","6","136","22.7","5","108","21.6","6","136","22.7","6","132","22","1","6","6","0","0","0","31","683","22","38","18"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 남구","S030000433","대구성명초등학교","02","공립","N","","2","31","15.5","2","30","15","2","33","16.5","2","47","23.5","2","37","18.5","2","35","17.5","1","5","5","0","0","0","13","218","16.8","17","12.8"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000434","대구성산초등학교","02","공립","N","","2","30","15","2","41","20.5","2","52","26","3","65","21.7","3","63","21","3","57","19","2","12","6","0","0","0","17","320","18.8","21","15.2"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000435","대구성서초등학교","02","공립","N","","2","31","15.5","2","24","12","2","45","22.5","2","47","23.5","2","30","15","2","48","24","1","3","3","0","0","0","13","228","17.5","18","12.7"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000436","대구성지초등학교","02","공립","N","","2","34","17","2","46","23","2","50","25","3","58","19.3","2","47","23.5","3","57","19","1","4","4","0","0","0","15","296","19.7","18","16.4"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000437","대구송일초등학교","02","공립","N","","2","45","22.5","3","58","19.3","3","67","22.3","3","69","23","4","84","21","3","76","25.3","1","6","6","0","0","0","19","405","21.3","24","16.9"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000438","대구송현초등학교","02","공립","N","","2","33","16.5","2","32","16","2","43","21.5","2","38","19","2","39","19.5","2","40","20","1","3","3","0","0","0","13","228","17.5","17","13.4"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000439","대구신당초등학교","02","공립","N","","1","7","7","1","12","12","1","17","17","1","17","17","2","24","12","2","23","11.5","2","11","5.5","0","0","0","10","111","11.1","15","7.4"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000440","대구신서초등학교","02","공립","N","","1","10","10","2","28","14","2","26","13","1","14","14","2","26","13","2","30","15","1","5","5","0","0","0","11","139","12.6","15","9.3"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000441","대구신흥초등학교","02","공립","N","","2","31","15.5","2","38","19","3","62","20.7","3","53","17.7","4","68","17","2","50","25","1","1","1","0","0","0","17","303","17.8","21","14.4"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 남구","S030000442","대구영선초등학교","02","공립","N","","3","38","12.7","3","44","14.7","3","54","18","2","49","24.5","2","44","22","3","63","21","1","6","6","0","0","0","17","298","17.5","22","13.5"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000443","대구와룡초등학교","02","공립","N","","4","80","20","3","51","17","3","62","20.7","4","83","20.8","3","65","21.7","3","66","22","2","12","6","0","0","0","22","419","19","29","14.4"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000444","대구용산초등학교","02","공립","N","","2","41","20.5","2","48","24","3","60","20","3","61","20.3","3","68","22.7","3","69","23","1","7","7","0","0","0","17","354","20.8","22","16.1"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000445","대구용전초등학교","02","공립","N","","2","34","17","2","41","20.5","2","41","20.5","2","44","22","3","52","17.3","3","66","22","1","3","3","0","0","0","15","281","18.7","19","14.8"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000446","대구월곡초등학교","02","공립","N","","1","3","3","1","12","12","1","14","14","1","14","14","1","11","11","2","21","10.5","2","5","2.5","0","0","0","9","80","8.9","12","6.7"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000447","대구월배초등학교","02","공립","N","","5","95","19","5","98","19.6","5","102","20.4","5","109","21.8","4","92","23","4","87","21.8","2","12","6","0","0","0","30","595","19.8","38","15.7"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000448","대구월성초등학교","02","공립","N","","1","20","20","1","17","17","1","18","18","2","30","15","2","38","19","2","26","13","1","5","5","0","0","0","10","154","15.4","14","11"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000449","대구월촌초등학교","02","공립","N","","3","59","19.7","3","64","21.3","3","67","22.3","4","83","20.8","4","78","19.5","4","76","19","2","9","4.5","0","0","0","23","436","19","29","15"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000450","대구이곡초등학교","02","공립","N","","2","39","19.5","2","47","23.5","2","49","24.5","3","61","20.3","3","53","17.7","3","58","19.3","0","0","0","0","0","0","15","307","20.5","20","15.4"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000451","대구장기초등학교","02","공립","N","","2","47","23.5","3","60","20","3","68","22.7","3","76","25.3","3","74","24.7","4","83","20.8","1","6","6","0","0","0","19","414","21.8","23","18"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000452","대구장산초등학교","02","공립","N","","2","31","15.5","2","35","17.5","3","64","21.3","3","65","21.7","3","75","25","3","76","25.3","1","4","4","0","0","0","17","350","20.6","22","15.9"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000453","대구죽전초등학교","02","공립","N","","2","46","23","2","50","25","3","62","20.7","3","59","19.7","3","60","20","2","43","21.5","2","8","4","1","0","0","18","328","18.2","24","13.7"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000454","대구진월초등학교","02","공립","N","","2","32","16","2","31","15.5","2","40","20","2","48","24","2","45","22.5","2","51","25.5","1","4","4","0","0","0","13","251","19.3","17","14.8"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000455","대구진천초등학교","02","공립","N","","3","45","15","3","57","19","3","68","22.7","3","77","25.7","3","60","20","3","63","21","2","12","6","0","0","0","20","382","19.1","24","15.9"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000456","대구파호초등학교","02","공립","N","","2","29","14.5","2","29","14.5","1","24","24","2","31","15.5","2","35","17.5","2","41","20.5","0","0","0","0","0","0","11","189","17.2","14","13.5"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000457","대구학산초등학교","02","공립","N","","3","54","18","2","51","25.5","4","79","19.8","3","61","20.3","3","53","17.7","3","60","20","2","10","5","0","0","0","20","368","18.4","25","14.7"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 남구","S030000458","대구효명초등학교","02","공립","N","","2","39","19.5","2","46","23","2","43","21.5","3","55","18.3","3","54","18","3","71","23.7","0","0","0","0","0","0","15","308","20.5","19","16.2"
"대구광역시교육청","대구광역시남부교육지원청","대구광역시 달서구","S030000459","효성초등학교","02","사립","N","","3","85","28.3","3","84","28","3","84","28","3","85","28.3","3","89","29.7","3","82","27.3","0","0","0","0","0","0","18","509","28.3","19","26.8"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000565","대구가창초등학교","02","공립","N","","1","15","15","1","9","9","1","11","11","2","27","13.5","2","30","15","1","17","17","1","4","4","0","0","0","9","113","12.6","11","10.3"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000567","대구구지초등학교","02","공립","N","","3","62","20.7","4","82","20.5","4","83","20.8","3","72","24","4","80","20","4","84","21","2","12","6","0","0","0","24","475","19.8","27","17.6"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000568","대구금계초등학교","02","공립","N","","1","23","23","1","18","18","1","16","16","1","19","19","1","24","24","1","21","21","0","0","0","0","0","0","6","121","20.2","9","13.4"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000569","대구금포초등학교","02","공립","N","","1","17","17","1","22","22","2","25","12.5","2","26","13","1","13","13","1","16","16","1","6","6","0","0","0","9","125","13.9","12","10.4"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000570","대구남동초등학교","02","공립","N","","1","19","19","1","13","13","2","22","11","1","20","20","2","32","16","2","29","14.5","1","5","5","0","0","0","10","140","14","14","10"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000571","대구다사초등학교","02","공립","N","","7","146","20.9","6","149","24.8","6","158","26.3","7","176","25.1","6","156","26","6","138","23","2","10","5","0","0","0","40","933","23.3","48","19.4"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000573","대구동곡초등학교","02","공립","N","","1","11","11","1","6","6","1","7","7","1","7","7","1","9","9","1","10","10","1","6","6","0","0","0","7","56","8","9","6.2"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000574","대구반송초등학교","02","공립","N","","1","6","6","1","17","17","1","4","4","1","6","6","1","11","11","1","4","4","0","0","0","0","0","0","6","48","8","9","5.3"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000575","대구북동초등학교","02","공립","N","","2","33","16.5","2","32","16","2","27","13.5","2","39","19.5","2","28","14","3","39","13","2","11","5.5","0","0","0","15","209","13.9","21","10"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000577","대구서재초등학교","02","공립","N","","3","61","20.3","4","86","21.5","4","99","24.8","4","89","22.3","4","101","25.3","4","88","22","2","12","6","0","0","0","25","536","21.4","30","17.9"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000579","대구옥포초등학교","02","공립","N","","2","34","17","2","36","18","2","42","21","2","36","18","2","40","20","2","41","20.5","1","3","3","0","0","0","13","232","17.8","15","15.5"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000580","대구용계초등학교","02","공립","N","","2","43","21.5","3","53","17.7","3","69","23","3","55","18.3","3","63","21","3","67","22.3","1","5","5","0","0","0","18","355","19.7","22","16.1"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000582","대구유가초등학교","02","공립","N","","9","217","24.1","10","273","27.3","10","273","27.3","11","281","25.5","10","265","26.5","10","248","24.8","2","12","6","0","0","0","62","1569","25.3","73","21.5"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000585","대구하빈초등학교","02","공립","N","","1","10","10","1","14","14","1","15","15","1","10","10","1","15","15","1","15","15","1","4","4","0","0","0","7","83","11.9","10","8.3"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000588","대구현풍초등학교","02","공립","N","","2","30","15","2","29","14.5","2","45","22.5","3","49","16.3","3","55","18.3","2","39","19.5","1","6","6","0","0","0","15","253","16.9","19","13.3"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000590","대구화남초등학교","02","공립","N","","4","77","19.3","3","65","21.7","3","71","23.7","3","66","22","4","87","21.8","3","77","25.7","1","6","6","0","0","0","21","449","21.4","25","18"
"대구광역시교육청","대구광역시달성교육지원청","대구광역시 달성군","S030000591","대구화원초등학교","02","공립","N","","3","61","20.3","3","58","19.3","3","59","19.7","3","73","24.3","3","75","25","3","67","22.3","2","11","5.5","1","0","0","21","404","19.2","27","15"
