"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"부산광역시교육청","부산광역시동래교육지원청","부산광역시 연제구","S000003559","부산교육대학교부설초등학교","02","국립","N","","4","79","19.8","4","79","19.8","4","95","23.8","4","96","24","4","95","23.8","4","95","23.8","1","5","5","0","0","0","25","544","21.8","29","18.8"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 중구","S020000625","광일초등학교","02","공립","N","","1","22","22","2","25","12.5","2","42","21","2","36","18","2","34","17","2","46","23","1","6","6","0","0","0","12","211","17.6","16","13.2"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 중구","S020000626","남성초등학교","02","사립","N","","3","88","29.3","3","77","25.7","3","77","25.7","3","66","22","3","57","19","2","42","21","0","0","0","0","0","0","17","407","23.9","24","17"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000628","대남초등학교","02","공립","N","","3","48","16","3","63","21","2","39","19.5","3","64","21.3","2","41","20.5","2","41","20.5","1","5","5","0","0","0","16","301","18.8","18","16.7"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000629","대연초등학교","02","공립","N","","4","86","21.5","5","105","21","5","126","25.2","6","131","21.8","7","155","22.1","7","157","22.4","2","10","5","0","0","0","36","770","21.4","41","18.8"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000630","대천초등학교","02","공립","N","","3","49","16.3","3","74","24.7","4","85","21.3","5","102","20.4","4","86","21.5","5","106","21.2","2","8","4","0","0","0","26","510","19.6","30","17"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 동구","S020000632","동일중앙초등학교","02","공립","N","","5","110","22","6","144","24","7","148","21.1","7","167","23.9","6","138","23","7","177","25.3","2","13","6.5","0","0","0","40","897","22.4","48","18.7"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000633","동천초등학교","02","공립","N","","1","24","24","2","35","17.5","2","47","23.5","2","52","26","2","44","22","3","59","19.7","1","4","4","0","0","0","13","265","20.4","16","16.6"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000634","동항초등학교","02","공립","N","","1","14","14","1","20","20","1","9","9","2","32","16","1","17","17","2","32","16","1","4","4","0","0","0","9","128","14.2","11","11.6"
"부산광역시교육청","부산광역시남부교육지원청","부산광역시 남구","S020000635","문현초등학교","02","공립","N","","3","63","21","4","77","19.3","4","73","18.3","5","96","19.2","5","95","19","4","79","19.8","2","9","4.5","0","0","0","27","492","18.2","31","15.9"
