"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S000003511","서울교육대학교부설초등학교","02","국립","N","","4","95","23.8","4","95","23.8","4","95","23.8","5","103","20.6","5","111","22.2","5","107","21.4","1","5","5","0","0","0","28","611","21.8","31","19.7"
"서울특별시교육청","서울특별시중부교육지원청","서울특별시 종로구","S000003563","서울대학교사범대학부설초등학교","02","국립","N","","5","86","17.2","5","85","17","5","87","17.4","5","103","20.6","5","102","20.4","5","102","20.4","1","5","5","0","0","0","31","570","18.4","36","15.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000737","서울개원초등학교","02","공립","N","","7","150","21.4","8","191","23.9","6","147","24.5","7","168","24","7","160","22.9","7","179","25.6","2","11","5.5","0","0","0","44","1006","22.9","51","19.7"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000738","서울개일초등학교","02","공립","N","","5","118","23.6","5","115","23","6","141","23.5","5","137","27.4","6","153","25.5","6","170","28.3","0","0","0","0","0","0","33","834","25.3","40","20.9"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000739","서울개포초등학교","02","공립","N","","6","117","19.5","6","127","21.2","7","159","22.7","6","141","23.5","8","170","21.3","8","164","20.5","2","8","4","0","0","0","43","886","20.6","51","17.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000741","서울구룡초등학교","02","공립","N","","3","70","23.3","3","66","22","5","97","19.4","5","96","19.2","5","103","20.6","5","116","23.2","2","13","6.5","0","0","0","28","561","20","32","17.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000742","서울논현초등학교","02","공립","N","","2","34","17","2","26","13","2","32","16","2","30","15","2","37","18.5","2","31","15.5","2","8","4","0","0","0","14","198","14.1","17","11.6"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000743","서울대곡초등학교","02","공립","N","","5","124","24.8","6","159","26.5","7","185","26.4","9","246","27.3","9","245","27.2","11","273","24.8","1","3","3","0","0","0","48","1235","25.7","52","23.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000744","서울대도초등학교","02","공립","N","","9","232","25.8","9","294","32.7","9","302","33.6","10","342","34.2","12","366","30.5","13","420","32.3","0","0","0","0","0","0","62","1956","31.5","73","26.8"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000745","서울대모초등학교","02","공립","N","","4","90","22.5","5","112","22.4","5","119","23.8","5","140","28","6","159","26.5","6","161","26.8","1","7","7","0","0","0","32","788","24.6","37","21.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000746","서울대왕초등학교","02","공립","N","","3","54","18","4","81","20.3","4","72","18","4","89","22.3","3","61","20.3","4","77","19.3","2","8","4","0","0","0","24","442","18.4","36","12.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000747","서울대진초등학교","02","공립","N","","2","14","7","1","18","18","2","28","14","2","38","19","2","40","20","3","38","12.7","2","8","4","0","0","0","14","184","13.1","16","11.5"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000748","서울대청초등학교","02","공립","N","","1","7","7","1","8","8","1","12","12","1","13","13","2","17","8.5","1","10","10","2","8","4","0","0","0","9","75","8.3","12","6.3"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000749","서울대치초등학교","02","공립","N","","5","129","25.8","6","164","27.3","7","228","32.6","8","242","30.3","10","325","32.5","12","373","31.1","0","0","0","0","0","0","48","1461","30.4","60","24.4"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","N","","4","109","27.3","4","123","30.8","5","148","29.6","7","204","29.1","9","236","26.2","11","263","23.9","2","9","4.5","0","0","0","42","1092","26","49","22.3"
