"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"인천광역시교육청","인천광역시북부교육지원청","인천광역시 계양구","S000003564","경인교육대학교부설초등학교","02","국립","N","","4","80","20","4","94","23.5","4","95","23.8","4","95","23.8","4","95","23.8","4","95","23.8","1","6","6","0","0","0","25","560","22.4","29","19.3"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000330","갑룡초등학교","02","공립","N","","3","50","16.7","3","68","22.7","4","91","22.8","4","83","20.8","4","91","22.8","4","91","22.8","2","11","5.5","0","0","0","24","485","20.2","31","15.6"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000331","강화초등학교","02","공립","N","","2","21","10.5","2","26","13","2","35","17.5","2","29","14.5","2","39","19.5","2","49","24.5","2","10","5","0","0","0","14","209","14.9","17","12.3"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000333","교동초등학교","02","공립","N","","1","1","1","1","1","1","1","2","2","1","2","2","1","8","8","1","3","3","1","1","1","0","0","0","7","18","2.6","9","2"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000334","길상초등학교","02","공립","N","","1","16","16","1","16","16","2","20","10","2","25","12.5","2","28","14","2","29","14.5","1","6","6","0","0","0","11","140","12.7","18","7.8"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000338","내가초등학교","02","공립","N","","1","10","10","1","11","11","1","7","7","1","6","6","1","10","10","1","9","9","1","4","4","0","0","0","7","57","8.1","9","6.3"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000342","대월초등학교","02","공립","N","","1","8","8","1","13","13","1","15","15","2","21","10.5","2","26","13","2","19","9.5","1","5","5","0","0","0","10","107","10.7","12","8.9"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000345","명신초등학교","02","공립","N","","1","10","10","1","8","8","1","4","4","1","11","11","1","8","8","1","4","4","0","0","0","0","0","0","6","45","7.5","8","5.6"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000349","불은초등학교","02","공립","N","","1","8","8","1","5","5","1","11","11","1","8","8","1","8","8","1","11","11","0","0","0","0","0","0","6","51","8.5","8","6.4"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000350","삼산초등학교","02","공립","N","","0","0","0","1","5","5","1","2","2","1","3","3","0","0","0","1","3","3","1","1","1","0","0","0","5","14","2.8","5","2.8"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000354","삼성초등학교","02","공립","N","","0","0","0","1","3","3","1","2","2","1","4","4","1","4","4","1","6","6","1","4","4","0","0","0","6","23","3.8","8","2.9"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000355","서도초등학교","02","공립","N","","0","0","0","0","0","0","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","1","3"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000360","선원초등학교","02","공립","N","","2","29","14.5","2","34","17","2","38","19","2","42","21","2","36","18","3","49","16.3","1","5","5","0","0","0","14","233","16.6","17","13.7"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000364","송해초등학교","02","공립","N","","0","0","0","1","5","5","1","6","6","1","5","5","1","12","12","1","8","8","0","0","0","0","0","0","5","36","7.2","7","5.1"
"인천광역시교육청","인천광역시강화교육지원청","인천광역시 강화군","S040000367","양도초등학교","02","공립","N","","1","4","4","1","8","8","1","8","8","1","7","7","1","12","12","1","9","9","1","4","4","0","0","0","7","52","7.4","9","5.8"
