"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"전라남도교육청","전라남도목포교육지원청","전라남도 목포시","S000003504","광주교육대학교목포부설초등학교","02","국립","N","","3","59","19.7","3","57","19","3","59","19.7","3","70","23.3","3","72","24","3","63","21","1","3","3","0","0","0","19","383","20.2","22","17.4"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000348","강진동초등학교","02","공립","N","","1","6","6","1","8","8","1","9","9","1","7","7","1","11","11","1","13","13","1","4","4","0","0","0","7","58","8.3","8","7.3"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000351","강진중앙초등학교","02","공립","N","","4","81","20.3","5","88","17.6","5","81","16.2","6","105","17.5","5","106","21.2","4","100","25","1","7","7","0","0","0","30","568","18.9","37","15.4"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000352","계산초등학교","02","공립","N","","1","9","9","1","4","4","1","12","12","1","11","11","1","6","6","1","10","10","1","2","2","0","0","0","7","54","7.7","8","6.8"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000353","군동초등학교","02","공립","N","","1","4","4","1","2","2","1","3","3","1","3","3","1","6","6","1","10","10","0","0","0","0","0","0","6","28","4.7","7","4"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000354","대구초등학교","02","공립","N","","1","6","6","0","0","0","1","3","3","1","4","4","1","3","3","1","4","4","0","0","0","0","0","0","5","20","4","6","3.3"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000356","도암초등학교","02","공립","N","","1","1","1","1","4","4","1","3","3","1","1","1","1","5","5","1","4","4","1","2","2","0","0","0","7","20","2.9","9","2.2"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000358","마량초등학교","02","공립","N","","1","5","5","1","4","4","1","2","2","1","4","4","1","3","3","1","11","11","1","2","2","0","0","0","7","31","4.4","8","3.9"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000359","병영초등학교","02","공립","N","","1","2","2","1","2","2","1","1","1","1","4","4","1","3","3","1","5","5","1","2","2","0","0","0","7","19","2.7","8","2.4"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000360","성전초등학교","02","공립","N","","1","6","6","1","2","2","1","3","3","1","6","6","1","6","6","1","5","5","1","2","2","0","0","0","7","30","4.3","7","4.3"
