"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S000003522","전주교육대학교군산부설초등학교","02","국립","N","","3","59","19.7","3","58","19.3","3","59","19.7","3","71","23.7","3","72","24","3","68","22.7","1","5","5","0","0","0","19","392","20.6","23","17"
"전북특별자치도교육청","전북특별자치도전주교육지원청","전북특별자치도 전주시 완산구","S000003525","전주교육대학교전주부설초등학교","02","국립","N","","3","60","20","3","57","19","3","60","20","3","72","24","3","72","24","3","68","22.7","1","6","6","0","0","0","19","395","20.8","22","18"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000480","가평초등학교","02","공립","N","","1","3","3","1","1","1","1","10","10","1","5","5","1","7","7","1","4","4","0","0","0","0","0","0","6","30","5","7","4.3"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000481","고수초등학교","02","공립","N","","1","9","9","1","8","8","1","6","6","1","7","7","1","11","11","1","5","5","1","3","3","0","0","0","7","49","7","8","6.1"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000482","고창남초등학교","02","공립","N","","2","25","12.5","2","27","13.5","2","32","16","2","38","19","2","40","20","2","46","23","1","5","5","0","0","0","13","213","16.4","17","12.5"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000484","고창초등학교","02","공립","N","","6","110","18.3","6","115","19.2","7","124","17.7","6","147","24.5","6","143","23.8","6","150","25","2","9","4.5","0","0","0","39","798","20.5","47","17"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000485","공음초등학교","02","공립","N","","1","2","2","0","0","0","0","0","0","1","2","2","1","2","2","1","3","3","1","1","1","0","0","0","5","10","2","6","1.7"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000486","대산초등학교","02","공립","N","","1","6","6","0","0","0","0","0","0","0","0","0","1","1","1","1","5","5","0","0","0","0","0","0","3","12","4","4","3"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000487","대아초등학교","02","공립","N","","1","4","4","1","3","3","1","5","5","1","4","4","1","9","9","1","5","5","0","0","0","0","0","0","6","30","5","7","4.3"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000489","동호초등학교","02","공립","N","","0","0","0","0","0","0","1","5","5","0","0","0","1","5","5","1","6","6","0","0","0","0","0","0","3","16","5.3","4","4"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000490","매산초등학교","02","공립","N","","1","2","2","1","1","1","1","2","2","1","5","5","1","7","7","1","2","2","0","0","0","0","0","0","6","19","3.2","7","2.7"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000491","무장초등학교","02","공립","N","","1","7","7","1","2","2","1","6","6","1","8","8","1","13","13","1","6","6","1","2","2","0","0","0","7","44","6.3","8","5.5"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000492","봉암초등학교","02","공립","N","","1","2","2","0","0","0","0","0","0","1","7","7","0","0","0","0","0","0","0","0","0","0","0","0","2","9","4.5","3","3"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000493","고창부안초등학교","02","공립","N","","1","3","3","1","2","2","1","1","1","1","3","3","1","4","4","1","4","4","1","1","1","0","0","0","7","18","2.6","8","2.3"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000495","상하초등학교","02","공립","N","","1","1","1","0","0","0","1","2","2","1","6","6","1","8","8","1","2","2","1","1","1","0","0","0","6","20","3.3","6","3.3"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000500","성내초등학교","02","공립","N","","1","2","2","1","2","2","1","2","2","1","1","1","1","3","3","1","6","6","1","2","2","0","0","0","7","18","2.6","8","2.3"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000501","성송초등학교","02","공립","N","","1","5","5","0","0","0","1","5","5","1","2","2","1","5","5","1","2","2","1","1","1","0","0","0","6","20","3.3","8","2.5"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000502","신림초등학교","02","공립","N","","1","0","0","1","7","7","1","5","5","1","5","5","1","7","7","1","5","5","1","4","4","0","0","0","7","33","4.7","9","3.7"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000504","심원초등학교","02","공립","N","","1","4","4","1","7","7","1","7","7","1","8","8","1","9","9","1","3","3","0","0","0","0","0","0","6","38","6.3","7","5.4"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000505","아산초등학교","02","공립","N","","0","0","0","1","2","2","1","2","2","1","4","4","1","3","3","1","3","3","1","2","2","0","0","0","6","16","2.7","7","2.3"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000510","해리초등학교","02","공립","N","","1","3","3","1","1","1","1","2","2","1","0","0","1","4","4","1","2","2","1","4","4","0","0","0","7","16","2.3","9","1.8"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000512","흥덕초등학교","02","공립","N","","1","10","10","1","8","8","1","3","3","1","9","9","1","10","10","1","9","9","1","5","5","0","0","0","7","54","7.7","8","6.8"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000571","개정초등학교","02","공립","N","","1","5","5","1","13","13","1","14","14","1","13","13","1","14","14","1","19","19","0","0","0","0","0","0","6","78","13","8","9.8"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000574","군산경포초등학교","02","공립","N","","5","85","17","4","73","18.3","4","70","17.5","4","90","22.5","3","76","25.3","4","92","23","1","6","6","0","0","0","25","492","19.7","29","17"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000575","군산구암초등학교","02","공립","N","","3","38","12.7","3","44","14.7","3","48","16","3","53","17.7","3","56","18.7","2","45","22.5","2","12","6","0","0","0","19","296","15.6","23","12.9"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000576","군산금광초등학교","02","공립","N","","1","7","7","1","8","8","1","10","10","1","9","9","1","11","11","1","13","13","0","0","0","0","0","0","6","58","9.7","7","8.3"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000577","군산나운초등학교","02","공립","N","","2","21","10.5","2","26","13","2","28","14","2","39","19.5","2","39","19.5","2","32","16","1","6","6","0","0","0","13","191","14.7","16","11.9"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000578","군산남초등학교","02","공립","N","","1","9","9","1","4","4","1","7","7","1","16","16","1","18","18","1","24","24","2","10","5","0","0","0","8","88","11","10","8.8"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000579","군산내흥초등학교","02","공립","N","","1","10","10","1","10","10","1","9","9","1","11","11","1","10","10","1","8","8","0","0","0","0","0","0","6","58","9.7","7","8.3"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000580","군산동초등학교","02","공립","N","","3","53","17.7","4","71","17.8","4","72","18","4","90","22.5","3","76","25.3","4","105","26.3","2","11","5.5","0","0","0","24","478","19.9","29","16.5"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000581","군산문화초등학교","02","공립","N","","1","15","15","1","19","19","1","13","13","1","23","23","2","31","15.5","2","27","13.5","2","9","4.5","0","0","0","10","137","13.7","13","10.5"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000582","군산산북초등학교","02","공립","N","","2","27","13.5","3","45","15","2","39","19.5","3","57","19","3","65","21.7","3","68","22.7","2","12","6","0","0","0","18","313","17.4","22","14.2"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000583","군산서초등학교","02","공립","N","","1","11","11","1","11","11","1","17","17","1","16","16","1","17","17","1","20","20","1","6","6","0","0","0","7","98","14","9","10.9"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000584","군산서해초등학교","02","공립","N","","4","63","15.8","4","64","16","5","83","16.6","5","113","22.6","5","111","22.2","5","121","24.2","1","6","6","0","0","0","29","561","19.3","34","16.5"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000585","소룡초등학교","02","공립","N","","2","38","19","3","56","18.7","3","50","16.7","3","56","18.7","3","74","24.7","4","80","20","3","14","4.7","0","0","0","21","368","17.5","23","16"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000586","군산수송초등학교","02","공립","N","","2","31","15.5","2","36","18","3","41","13.7","3","62","20.7","3","59","19.7","3","56","18.7","1","5","5","0","0","0","17","290","17.1","20","14.5"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000587","군산신흥초등학교","02","공립","N","","2","30","15","3","45","15","3","50","16.7","3","71","23.7","3","68","22.7","3","72","24","1","5","5","0","0","0","18","341","18.9","21","16.2"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000588","군산용문초등학교","02","공립","N","","3","44","14.7","5","85","17","4","80","20","4","104","26","4","93","23.3","5","113","22.6","0","0","0","0","0","0","25","519","20.8","31","16.7"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000589","군산월명초등학교","02","공립","N","","4","76","19","4","85","21.3","6","102","17","6","140","23.3","5","134","26.8","5","118","23.6","1","4","4","0","0","0","31","659","21.3","37","17.8"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000590","군산중앙초등학교","02","공립","N","","2","37","18.5","3","40","13.3","3","46","15.3","2","50","25","1","22","22","2","39","19.5","1","6","6","0","0","0","14","240","17.1","16","15"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000591","군산지곡초등학교","02","공립","N","","3","54","18","3","51","17","4","72","18","3","65","21.7","3","55","18.3","3","79","26.3","1","6","6","0","0","0","20","382","19.1","24","15.9"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000592","군산초등학교","02","공립","N","","5","92","18.4","6","109","18.2","7","133","19","6","152","25.3","6","153","25.5","5","129","25.8","1","4","4","0","0","0","36","772","21.4","43","18"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000593","군산풍문초등학교","02","공립","N","","2","26","13","2","36","18","3","47","15.7","2","33","16.5","3","52","17.3","2","35","17.5","1","5","5","0","0","0","15","234","15.6","18","13"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000594","해성초등학교","02","공립","N","","1","2","2","1","7","7","0","0","0","0","0","0","0","0","0","1","5","5","1","6","6","0","0","0","4","20","5","6","3.3"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000595","군산흥남초등학교","02","공립","N","","1","16","16","1","13","13","2","28","14","1","24","24","1","26","26","2","44","22","1","6","6","0","0","0","9","157","17.4","14","11.2"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000598","나포초등학교","02","공립","N","","1","2","2","1","0","0","1","4","4","1","5","5","1","6","6","1","3","3","1","5","5","0","0","0","7","25","3.6","8","3.1"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000599","당북초등학교","02","공립","N","","3","44","14.7","3","45","15","3","56","18.7","2","46","23","3","57","19","4","75","18.8","2","12","6","0","0","0","20","335","16.8","23","14.6"
