"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S000003565","제주대학교교육대학부설초등학교","02","국립","N","","3","59","19.7","3","60","20","3","59","19.7","3","59","19.7","3","63","21","3","62","20.7","1","6","6","0","0","0","19","368","19.4","22","16.7"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000174","고산초등학교","02","공립","N","","1","16","16","1","12","12","1","11","11","1","12","12","1","13","13","1","12","12","1","6","6","0","0","0","7","82","11.7","9","9.1"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000175","곽금초등학교","02","공립","N","","1","10","10","1","18","18","1","15","15","1","11","11","1","18","18","1","18","18","0","0","0","0","0","0","6","90","15","8","11.3"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000176","광령초등학교","02","공립","N","","2","24","12","3","49","16.3","2","45","22.5","3","52","17.3","3","50","16.7","3","56","18.7","1","5","5","0","0","0","17","281","16.5","20","14.1"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000177","구엄초등학교","02","공립","N","","2","26","13","1","14","14","2","27","13.5","2","31","15.5","2","25","12.5","2","27","13.5","1","7","7","0","0","0","12","157","13.1","16","9.8"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000178","구좌중앙초등학교","02","공립","N","","1","3","3","1","5","5","1","8","8","1","10","10","1","9","9","1","9","9","0","0","0","0","0","0","6","44","7.3","8","5.5"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000179","귀덕초등학교","02","공립","N","","1","2","2","1","2","2","1","6","6","1","9","9","1","9","9","1","12","12","0","0","0","0","0","0","6","40","6.7","8","5"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000180","금악초등학교","02","공립","N","","1","7","7","1","10","10","1","11","11","1","11","11","1","6","6","1","17","17","0","0","0","0","0","0","6","62","10.3","8","7.8"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000181","김녕초등학교","02","공립","N","","1","10","10","1","8","8","1","12","12","1","7","7","1","15","15","1","13","13","1","3","3","0","0","0","7","68","9.7","9","7.6"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000182","납읍초등학교","02","공립","N","","1","7","7","1","10","10","1","12","12","1","16","16","2","27","13.5","1","19","19","0","0","0","0","0","0","7","91","13","9","10.1"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000183","대흘초등학교","02","공립","N","","2","28","14","2","37","18.5","2","33","16.5","2","35","17.5","2","45","22.5","2","33","16.5","0","0","0","0","0","0","12","211","17.6","15","14.1"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000186","물메초등학교","02","공립","N","","1","9","9","1","14","14","1","16","16","1","20","20","1","11","11","1","18","18","0","0","0","0","0","0","6","88","14.7","8","11"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000187","북촌초등학교","02","공립","N","","1","11","11","1","13","13","1","9","9","1","13","13","1","14","14","1","17","17","0","0","0","0","0","0","6","77","12.8","8","9.6"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000190","세화초등학교","02","공립","N","","1","17","17","1","9","9","1","22","22","1","15","15","1","23","23","1","18","18","0","0","0","0","0","0","6","104","17.3","8","13"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000191","송당초등학교","02","공립","N","","1","3","3","1","10","10","1","8","8","1","10","10","1","13","13","1","12","12","0","0","0","0","0","0","6","56","9.3","8","7"
"제주특별자치도교육청","제주시교육지원청","제주특별자치도 제주시","S170000192","수원초등학교","02","공립","N","","1","15","15","1","16","16","1","11","11","1","21","21","2","25","12.5","1","22","22","1","9","9","0","0","0","8","119","14.9","12","9.9"
